market,strategy,venue,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
jra,independent_product_top1,札幌,168,168,1.0,19,11.30952380952381,118.39285714285714,99.94047619047619,3100.0,0.1558572146807441
jra,independent_product_top1,東京,532,532,1.0,68,12.781954887218044,93.36466165413533,78.92857142857143,7680.0,0.15462049526877392
jra,independent_product_top1,福島,229,229,1.0,22,9.606986899563319,81.92139737991266,72.75109170305677,2100.0,0.11194029850746269
jra,independent_product_top1,阪神,456,456,1.0,51,11.18421052631579,70.76754385964912,65.32894736842105,2480.0,0.07685156492097923
jra,independent_product_top2,中京,776,388,2.0,85,10.95360824742268,111.99742268041237,106.14690721649484,4540.0,0.05223794730180647
jra,independent_product_top2,中山,972,486,2.0,96,9.876543209876543,78.37448559670781,73.73456790123457,4510.0,0.05920189025991074
jra,independent_product_top2,京都,914,457,2.0,104,11.37855579868709,107.98687089715536,102.26477024070022,5230.0,0.05298885511651469
jra,independent_product_top2,函館,288,144,2.0,39,13.541666666666666,134.65277777777777,115.9375,5390.0,0.13898916967509026
jra,independent_product_top2,小倉,440,220,2.0,46,10.454545454545453,117.95454545454545,98.06818181818181,8750.0,0.16859344894026976
jra,independent_product_top2,新潟,542,271,2.0,39,7.195571955719557,68.3210332103321,60.571955719557195,4200.0,0.11342155009451796
jra,independent_product_top2,札幌,336,168,2.0,36,10.714285714285714,105.29761904761905,96.07142857142857,3100.0,0.08762012436404748
jra,independent_product_top2,東京,1064,532,2.0,133,12.5,94.40789473684211,87.18984962406014,7680.0,0.07645594823295172
jra,independent_product_top2,福島,458,229,2.0,44,9.606986899563319,84.51965065502183,79.51965065502183,2290.0,0.059157840351330405
jra,independent_product_top2,阪神,912,456,2.0,92,10.087719298245613,70.24122807017544,65.49342105263158,4330.0,0.06759288167343115
jra,independent_product_top3,中京,1160,388,2.9896907216494846,127,10.948275862068964,120.43103448275862,114.81896551724138,6510.0,0.04659985683607731
jra,independent_product_top3,中山,1458,486,3.0,131,8.984910836762689,78.03840877914952,74.94513031550069,4510.0,0.039637897697310596
jra,independent_product_top3,京都,1369,457,2.9956236323851204,142,10.372534696859022,103.48429510591673,99.66398831263696,5230.0,0.03691677842874285
jra,independent_product_top3,函館,432,144,3.0,53,12.268518518518519,114.72222222222223,102.24537037037037,5390.0,0.10875706214689265
jra,independent_product_top3,小倉,660,220,3.0,60,9.090909090909092,99.78787878787878,86.53030303030303,8750.0,0.1328575766778014
jra,independent_product_top3,新潟,813,271,3.0,58,7.134071340713407,65.85485854858548,60.68880688806888,4200.0,0.07844602166604409
jra,independent_product_top3,札幌,504,168,3.0,58,11.507936507936508,104.12698412698413,97.97619047619048,3100.0,0.05907012195121951
jra,independent_product_top3,東京,1596,532,3.0,182,11.403508771929824,86.97994987468671,82.16791979949875,7680.0,0.05532344042645152
jra,independent_product_top3,福島,687,229,3.0,64,9.315866084425037,89.83988355167395,80.64046579330422,6320.0,0.10239792611795204
jra,independent_product_top3,阪神,1367,456,2.9978070175438596,132,9.656181419166057,70.98024871982443,67.81272860277981,4330.0,0.04462537359579512
local,current_win_axis_max6,佐賀,11208,1927,5.816294758692268,1342,11.97359029264811,75.53443968593862,74.76802284082798,8590.0,0.010146588076873103
local,current_win_axis_max6,名古屋,12750,2200,5.795454545454546,1263,9.905882352941177,73.88078431372548,73.24392156862746,8120.0,0.008620140555001168
local,current_win_axis_max6,園田,13487,2358,5.719677692960135,1447,10.728850003707274,70.33439608511901,69.56031734262623,10440.0,0.011005692599620493
local,current_win_axis_max6,大井,9823,1700,5.778235294117647,958,9.752621398758016,73.28514710373614,72.5511554514914,7210.0,0.010015558148580319
local,current_win_axis_max6,姫路,3167,551,5.747731397459165,314,9.914745816229871,59.40637827597095,58.10546258288601,4120.0,0.021898586159243116
local,current_win_axis_max6,川崎,6527,1134,5.755731922398589,600,9.192584648383637,73.06725907767733,71.30994331239467,11470.0,0.024050659453565663
local,current_win_axis_max6,水沢,6777,1175,5.767659574468085,691,10.196252028921352,73.77895824110963,72.93935369632581,5690.0,0.01138
local,current_win_axis_max6,浦和,6136,1063,5.7723424270931325,632,10.29986962190352,73.08018252933508,71.84973924380704,7550.0,0.01683689398331921
local,current_win_axis_max6,盛岡,5664,994,5.698189134808853,591,10.434322033898304,74.91172316384181,73.53283898305085,7810.0,0.018406787650247468
local,current_win_axis_max6,笠松,8817,1534,5.747718383311604,1130,12.816150618124079,80.45366904842918,79.64160145174095,7160.0,0.010093605503552499
local,current_win_axis_max6,船橋,6283,1095,5.737899543378996,621,9.8838134649053,73.60814897342034,72.820308769696,4950.0,0.010703165542293721
local,current_win_axis_max6,金沢,7843,1388,5.650576368876081,1005,12.813974244549279,73.47316078031365,72.84202473543287,4950.0,0.00859002169197397
local,current_win_axis_max6,門別,7969,1380,5.774637681159421,877,11.005144936629438,74.09085205170034,72.2913790939892,14340.0,0.02428738377114984
local,current_win_axis_max6,高知,10562,1826,5.784227820372399,1266,11.98636621851922,79.51997727703086,78.90645711039576,6480.0,0.007715296050673302
local,win_axis1_max3,佐賀,5680,1927,2.9475869226777376,797,14.031690140845072,78.52640845070422,77.01408450704226,8590.0,0.019258794251507744
local,win_axis1_max3,名古屋,6511,2200,2.9595454545454545,753,11.565043772078022,70.92458915681155,69.67746889878667,8120.0,0.017583750189480066
local,win_axis1_max3,園田,6867,2357,2.9134492999575734,874,12.7275374981797,73.36245813310033,72.01397990388816,9260.0,0.01838103934257017
local,win_axis1_max3,大井,4993,1700,2.9370588235294117,583,11.676346885639896,76.62527538553975,75.18125375525736,7210.0,0.01884523902872527
local,win_axis1_max3,姫路,1607,551,2.9165154264972775,174,10.827629122588675,56.82638456751711,54.91599253266957,3070.0,0.03361804643013579
local,win_axis1_max3,川崎,3314,1134,2.9223985890652555,361,10.893180446590222,76.29450814725408,74.8340374170187,4840.0,0.019142540737225124
local,win_axis1_max3,水沢,3443,1175,2.930212765957447,398,11.559686320069707,71.53064188207958,69.87801336044147,5690.0,0.02310378431054085
local,win_axis1_max3,浦和,3121,1063,2.936030103480715,360,11.534764498558154,70.09932713873758,69.07081063761615,3210.0,0.014672273516774843
local,win_axis1_max3,盛岡,2901,994,2.9185110663983904,350,12.06480523957256,71.9786280592899,69.28645294725956,7810.0,0.037402423255591205
local,win_axis1_max3,笠松,4489,1533,2.9282452707110243,668,14.880819781688572,79.73490755179327,78.13989752728892,7160.0,0.020003911379319977
local,win_axis1_max3,船橋,3203,1095,2.9251141552511415,383,11.95753980643147,75.20449578520137,74.04308460817983,3720.0,0.015443374294254401
local,win_axis1_max3,金沢,4005,1388,2.8854466858789625,603,15.056179775280897,74.44694132334581,73.56803995006243,3520.0,0.011805741883552455
local,win_axis1_max3,門別,4041,1380,2.9282608695652175,502,12.422667656520662,69.30957683741649,68.42613214550853,3570.0,0.012746358183376178
local,win_axis1_max3,高知,5369,1826,2.9403066812705365,768,14.304339728068541,81.05047494878004,79.84354628422425,6480.0,0.01489107454729295
local,place_axis1_max3,佐賀,5723,1927,2.969901401141671,818,14.293202865629913,75.10920845710292,73.6082474226804,8590.0,0.01998371524950564
local,place_axis1_max3,名古屋,6574,2200,2.9881818181818183,782,11.895345299665347,74.30179494980226,73.06662610282933,8120.0,0.01662367440527372
local,place_axis1_max3,園田,6977,2358,2.958863443596268,897,12.856528593951555,69.84233911423247,68.51512111222588,9260.0,0.019003057727431303
local,place_axis1_max3,大井,5041,1700,2.965294117647059,594,11.783376314223368,72.12061098988296,71.14263043047015,4930.0,0.013560347673011333
local,place_axis1_max3,姫路,1634,551,2.9655172413793105,201,12.30110159118727,65.29987760097919,63.421052631578945,3070.0,0.028772258669165884
local,place_axis1_max3,川崎,3366,1134,2.9682539682539684,369,10.962566844919785,72.25193107546049,71.16161616161617,3670.0,0.01509046052631579
local,place_axis1_max3,水沢,3491,1175,2.971063829787234,416,11.916356344886852,72.76997994843884,71.14007447722716,5690.0,0.022398047551566682
local,place_axis1_max3,浦和,3153,1063,2.9661335841956724,395,12.527751347922614,76.56517602283539,75.54709800190295,3210.0,0.01329688082515223
local,place_axis1_max3,盛岡,2939,994,2.956740442655936,366,12.453215379380742,73.46036066689351,72.19802653963933,3710.0,0.017183881426586382
local,place_axis1_max3,笠松,4531,1534,2.953715775749674,683,15.073935113661443,80.6400353122931,79.05981019642464,7160.0,0.019596037002572664
local,place_axis1_max3,船橋,3240,1095,2.958904109589041,391,12.067901234567902,76.61111111111111,75.08333333333333,4950.0,0.01994198694706309
local,place_axis1_max3,金沢,4047,1388,2.9157060518731988,608,15.023474178403756,71.36644427971336,70.72893501359032,2580.0,0.00893289938369919
local,place_axis1_max3,門別,4092,1380,2.965217391304348,549,13.416422287390029,75.36168132942326,74.48924731182795,3570.0,0.011576626240352812
local,place_axis1_max3,高知,5416,1826,2.9660460021905806,787,14.531019202363368,81.31277695716396,80.45790251107829,4630.0,0.010513408569676877
local,pair_probability_top1,佐賀,1927,1927,1.0,417,21.639854696419306,77.01089776855216,76.03009859885833,1890.0,0.012735849056603774
local,pair_probability_top1,名古屋,2200,2200,1.0,374,17.0,73.45454545454545,72.7090909090909,1640.0,0.010148514851485149
local,pair_probability_top1,園田,2358,2358,1.0,462,19.59287531806616,73.32909245122985,72.66751484308736,1560.0,0.009022034584465908
local,pair_probability_top1,大井,1700,1700,1.0,297,17.47058823529412,77.01176470588236,75.95294117647059,1800.0,0.013748854262144821
local,pair_probability_top1,姫路,551,551,1.0,104,18.87477313974592,72.30490018148821,70.09074410163339,1220.0,0.030622489959839357
local,pair_probability_top1,川崎,1134,1134,1.0,178,15.696649029982362,73.95943562610229,72.50440917107584,1650.0,0.01967330392273757
