sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
46,R046,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.4,2,1.25,0.4,,,単勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,190.0,0,,2,2024-11-07,202450110702,,0,fixed_predeclared,76.92,-76.92,False,False
46,R046,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.4,2,1.25,0.4,,,複勝,8,0,0,0,1,1,1,100.0,0.2065,120,120.0,20,1,12.5,1,0,0.0,0,1,120.0,120.0,120.0,0.0,120,100.0,2,2024-11-07,202450110702,,0,fixed_predeclared,83.6,36.4,True,False
47,R047,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.2,2,1.3,0.2,,,単勝,8,8,0,0,35,35,8,22.86,0.1207,5580,159.43,2080,3,37.5,3,5,4.0,2,7,55.23,0.0,612.5,253.37,2450,43.91,1,2024-09-24,202443092406,92.06,-270,fixed_predeclared,76.92,82.51,True,False
47,R047,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.2,2,1.3,0.2,,,複勝,8,8,0,0,35,35,26,74.29,0.5793,5910,168.86,2410,8,100.0,8,0,4.0,2,7,150.83,125.0,305.0,26.95,1090,18.44,1,2024-09-24,202443092406,141.76,1420,fixed_predeclared,83.6,85.26,False,False
48,R048,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.25,2,1.3,0.25,,,単勝,8,5,0,0,25,25,7,28.0,0.1428,5210,208.4,2710,4,50.0,4,4,3.0,1,5,81.5,0.0,816.67,305.72,2450,47.02,1,2024-09-24,202443092406,115.0,360,fixed_predeclared,76.92,131.48,True,False
48,R048,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.25,2,1.3,0.25,,,複勝,8,5,0,0,25,25,19,76.0,0.5657,4530,181.2,2030,8,100.0,8,0,3.0,1,5,140.5,122.5,450.0,53.54,1090,24.06,1,2024-09-24,202443092406,143.33,1040,fixed_predeclared,83.6,97.6,True,False
49,R049,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.3,2,1.3,0.3,,,単勝,8,0,0,0,13,13,4,30.77,0.1268,1880,144.62,580,2,25.0,2,4,1.5,0,4,31.66,0.0,595.0,62.5,920,48.94,6,2025-10-25,202555102510,80.0,-240,fixed_predeclared,76.92,67.7,True,False
49,R049,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.3,2,1.3,0.3,,,複勝,8,0,0,0,13,13,11,84.62,0.5776,1830,140.77,530,5,62.5,5,1,1.5,0,4,126.25,95.0,190.0,68.75,270,14.75,3,2025-03-16,202554031603,130.0,360,fixed_predeclared,83.6,57.17,False,False
50,R050,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.35,2,1.3,0.35,,,単勝,8,0,0,0,4,4,0,0.0,0.0,0,0.0,-400,0,0.0,0,3,0.0,0,2,0.0,0.0,0.0,63.33,0,,2,2024-11-07,202450110702,0.0,-300,fixed_predeclared,76.92,-76.92,False,False
50,R050,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.35,2,1.3,0.35,,,複勝,8,0,0,0,4,4,3,75.0,0.3006,440,110.0,40,2,25.0,2,1,0.0,0,2,120.0,0.0,160.0,80.0,180,40.91,5,2025-07-22,202542072206,86.67,-40,fixed_predeclared,83.6,26.4,True,False
51,R051,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.4,2,1.3,0.4,,,単勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,190.0,0,,2,2024-11-07,202450110702,,0,fixed_predeclared,76.92,-76.92,False,False
51,R051,D,EV+AI勝率,EV > 1.3 AND AI勝率 >= 0.4,2,1.3,0.4,,,複勝,8,0,0,0,1,1,1,100.0,0.2065,120,120.0,20,1,12.5,1,0,0.0,0,1,120.0,120.0,120.0,0.0,120,100.0,2,2024-11-07,202450110702,,0,fixed_predeclared,83.6,36.4,True,False
52,R052,E,EV+オッズ帯,EV > 1 AND 単勝オッズ 1.5〜30,2,1.0,,1.5,30.0,単勝,8,8,8,1,121,121,35,28.93,0.2159,14990,123.88,2890,3,37.5,3,5,14.5,10,22,84.38,40.0,232.22,99.16,2450,16.34,1,2024-09-24,202443092406,104.5,540,fixed_predeclared,76.92,46.96,False,False
52,R052,E,EV+オッズ帯,EV > 1 AND 単勝オッズ 1.5〜30,2,1.0,,1.5,30.0,複勝,8,8,8,1,121,121,80,66.12,0.573,15160,125.29,3060,6,75.0,5,2,14.5,10,22,134.88,77.86,148.0,34.06,1090,7.19,1,2024-09-24,202443092406,117.25,2070,fixed_predeclared,83.6,41.69,False,False
53,R053,E,EV+オッズ帯,EV > 1 AND 単勝オッズ 2〜20,2,1.0,,2.0,20.0,単勝,8,8,8,0,104,104,24,23.08,0.1603,10760,103.46,360,3,37.5,3,5,12.5,9,19,66.12,0.0,266.0,55.38,920,8.55,6,2025-10-25,202555102510,95.53,-460,fixed_predeclared,76.92,26.54,True,False
