sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
35,R035,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.35,2,1.15,0.35,,,単勝,8,0,0,0,2,2,1,50.0,0.0945,330,165.0,130,1,12.5,1,1,0.0,0,1,165.0,0.0,330.0,,330,100.0,4.0,2025-05-11,202505020603,0.0,-100,fixed_predeclared,76.48,88.52,True,False
35,R035,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.35,2,1.15,0.35,,,複勝,8,0,0,0,2,2,1,50.0,0.0945,230,115.0,30,1,12.5,1,1,0.0,0,1,115.0,0.0,230.0,,230,100.0,4.0,2025-05-11,202505020603,0.0,-100,fixed_predeclared,83.15,31.85,True,False
36,R036,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.4,2,1.15,0.4,,,単勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,76.48,-76.48,False,False
36,R036,D,EV+AI勝率,EV > 1.15 AND AI勝率 >= 0.4,2,1.15,0.4,,,複勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,83.15,-83.15,False,False
37,R037,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.2,2,1.2,0.2,,,単勝,8,0,0,0,6,6,2,33.33,0.0968,1630,271.67,1030,2,25.0,2,3,1.0,0,2,0.0,0.0,1100.0,410.0,1100,67.48,7.0,2026-02-07,202610010504,106.0,30,fixed_predeclared,76.48,195.19,True,False
37,R037,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.2,2,1.2,0.2,,,複勝,8,0,0,0,6,6,5,83.33,0.4365,1450,241.67,850,4,50.0,4,1,1.0,0,2,210.0,0.0,500.0,213.34,500,34.48,2.0,2024-12-08,202407040403,190.0,450,fixed_predeclared,83.15,158.52,True,False
38,R038,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.25,2,1.2,0.25,,,単勝,8,0,0,0,4,4,1,25.0,0.0456,1100,275.0,700,1,12.5,1,2,0.0,0,2,0.0,0.0,1100.0,695.0,1100,100.0,7.0,2026-02-07,202610010504,0.0,-300,fixed_predeclared,76.48,198.52,True,False
38,R038,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.25,2,1.2,0.25,,,複勝,8,0,0,0,4,4,3,75.0,0.3006,780,195.0,380,2,25.0,2,1,0.0,0,2,210.0,0.0,360.0,230.0,360,46.15,7.0,2026-02-07,202610010504,140.0,120,fixed_predeclared,83.15,111.85,True,False
39,R039,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.3,2,1.2,0.3,,,単勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,76.48,-76.48,False,False
39,R039,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.3,2,1.2,0.3,,,複勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,83.15,-83.15,False,False
